state,month,tavg,tmin,tmax,prcp,pres,avg_river_discharge,flood
kuching,2000-01,25.5,23.7,29.9,903,1009.6,167.8465913,
kuching,2000-02,26,23.4,30.5,574,1009.3,188.350058,
kuching,2000-03,26.4,23.5,31.6,265,1009.4,79.40576713,
kuching,2000-04,26.1,23.2,32.3,372,1009.1,131.67786,
kuching,2000-05,27.1,23.6,33.3,216,1009.3,88.39329206,
kuching,2000-06,26.7,23.5,31.7,231,1009.6,75.15783003,
kuching,2000-07,26.7,23.7,31.8,145,1009.7,37.21669355,
kuching,2000-08,26.4,23.7,31.8,222,1009.4,75.55039703,
kuching,2000-09,26,23.7,31.8,312,1009.9,94.15155007,
kuching,2000-10,26,23.7,31.8,224,1009.7,147.9988791,
kuching,2000-11,26.1,23.3,31.2,323,1008.5,128.7800408,
kuching,2000-12,26.2,23.2,31.4,524,1009.1,116.8893387,
kuching,2001-01,25.7,23,30.3,513,1009.2,155.916129,
kuching,2001-02,25.6,23.1,30.2,577,1009,207.9759929,
kuching,2001-03,26.1,23.2,32.1,372,1009.6,105.0398397,
kuching,2001-04,26.4,23.4,32.3,354,1009.4,90.64152273,
kuching,2001-05,27.4,24,32.9,87,1009.4,75.91146071,
kuching,2001-06,26.7,23.2,32.5,149,1009.3,65.8061912,
kuching,2001-07,27,23,33.1,278,1009.3,26.4627275,
kuching,2001-08,27.3,23.5,33.3,138,1009.5,30.69374868,
kuching,2001-09,26.3,23.3,31.3,334,1010.1,89.0467587,
kuching,2001-10,26.4,23.5,32,471,1010,91.15374442,
kuching,2001-11,25.9,23.3,31.2,369,1010.2,137.5247057,
kuching,2001-12,26.2,23.1,30.8,145,1011.2,102.691711,
kuching,2002-01,25.6,23.3,29.4,1351,1011.1,142.0820211,
kuching,2002-02,25.5,23,29.2,819,1012.5,80.44601957,
kuching,2002-03,26.2,23.6,30.8,483,1010.7,108.4271083,
kuching,2002-04,26.8,23.7,31.9,172,1009.6,80.8610906,
kuching,2002-05,27.3,24.2,32.7,215,1009.9,80.25216965,
kuching,2002-06,26.8,23.4,32.5,195,1010,41.91013953,
kuching,2002-07,27.2,23.4,33.1,195,1010.5,14.74759833,
kuching,2002-08,26.8,22.8,32.4,238,1010.5,25.13887829,
kuching,2002-09,26.3,23,31.8,266,1011.5,49.04634027,
kuching,2002-10,26.4,23.2,32.1,216,1010.8,96.46156784,
kuching,2002-11,26.1,23.2,31.4,376,1010.6,107.1836668,
kuching,2002-12,26.5,23.5,32,194,1011.1,106.760848,
kuching,2003-01,25.8,23.3,30,760,1011.8,275.0900371,
kuching,2003-02,26,23.2,30,907,1011,129.9291402,
kuching,2003-03,26.4,23.4,31.3,464,1011,52.68852216,
kuching,2003-04,26.5,23.8,32.2,503,1010.1,105.0038639,
kuching,2003-05,27.8,24.1,33.1,216,1009.6,73.49882471,
kuching,2003-06,26.8,23.5,32.6,155,1010,30.70075012,
kuching,2003-07,26.4,23,32.1,258,1010.6,58.91295645,
