tavg,tmin,tmax,prcp,pres,city,year,month,tavg_norm,tmin_norm,tmax_norm,prcp_norm,pres_norm,fuzzy_prcp_label,prcp_label_from_function
25.5,23.7,29.9,903.0,1009.6,0,2000,1,0.131578947368421,0.4571428571428565,0.2580645161290319,0.6427750646365986,0.4528301886792449,High,High
26.0,23.4,30.5,574.0,1009.3,0,2000,1,0.263157894736842,0.3714285714285706,0.3548387096774192,0.4064923872450445,0.3962264150943259,High,High
26.4,23.5,31.6,265.0,1009.4,0,2000,1,0.3684210526315785,0.3999999999999996,0.5322580645161292,0.1845733984487216,0.4150943396226322,Medium,Medium
26.1,23.2,32.3,372.0,1009.1,0,2000,1,0.2894736842105266,0.3142857142857136,0.6451612903225802,0.2614191324332088,0.3584905660377346,Medium,Medium
27.1,23.6,33.3,216.0,1009.3,0,2000,1,0.5526315789473687,0.4285714285714285,0.8064516129032253,0.149382361390405,0.3962264150943259,Low,Low
26.7,23.5,31.7,231.0,1009.6,0,2000,1,0.4473684210526313,0.3999999999999996,0.5483870967741934,0.1601551278368284,0.4528301886792449,Low,Low
26.7,23.7,31.8,145.0,1009.7,0,2000,1,0.4473684210526313,0.4571428571428565,0.5645161290322581,0.0983912668773341,0.4716981132075512,Low,Low
26.4,23.7,31.8,222.0,1009.4,0,2000,1,0.3684210526315785,0.4571428571428565,0.5645161290322581,0.1536914679689744,0.4150943396226322,Low,Low
26.0,23.7,31.8,312.0,1009.9,0,2000,1,0.263157894736842,0.4571428571428565,0.5645161290322581,0.218328066647515,0.5094339622641424,Medium,Medium
26.0,23.7,31.8,224.0,1009.7,0,2000,1,0.263157894736842,0.4571428571428565,0.5645161290322581,0.1551278368284975,0.4716981132075512,Low,Low
26.1,23.3,31.2,323.0,1008.5,0,2000,1,0.2894736842105266,0.3428571428571426,0.4677419354838708,0.2262280953748922,0.245283018867918,Medium,Medium
26.2,23.2,31.4,524.0,1009.1,0,2000,1,0.3157894736842103,0.3142857142857136,0.4999999999999997,0.3705831657569663,0.3584905660377346,High,High
25.7,23.0,30.3,513.0,1009.2,0,2001,1,0.1842105263157892,0.2571428571428567,0.3225806451612903,0.3626831370295891,0.377358490566041,Medium,High
25.6,23.1,30.2,577.0,1009.0,0,2001,1,0.1578947368421056,0.2857142857142857,0.3064516129032256,0.4086469405343292,0.3396226415094283,Medium,High
26.1,23.2,32.1,372.0,1009.6,0,2001,1,0.2894736842105266,0.3142857142857136,0.6129032258064518,0.2614191324332088,0.4528301886792449,Medium,Medium
26.4,23.4,32.3,354.0,1009.4,0,2001,1,0.3684210526315785,0.3714285714285706,0.6451612903225802,0.2484918126975007,0.4150943396226322,Medium,Medium
27.4,24.0,32.9,87.0,1009.4,0,2001,1,0.6315789473684206,0.5428571428571425,0.7419354838709675,0.0567365699511634,0.4150943396226322,Low,Low
26.7,23.2,32.5,149.0,1009.3,0,2001,1,0.4473684210526313,0.3142857142857136,0.6774193548387096,0.1012640045963803,0.3962264150943259,Low,Low
27.0,23.0,33.1,278.0,1009.3,0,2001,1,0.5263157894736841,0.2571428571428567,0.774193548387097,0.1939097960356219,0.3962264150943259,Low,Medium
27.3,23.5,33.3,138.0,1009.5,0,2001,1,0.605263157894737,0.3999999999999996,0.8064516129032253,0.0933639758690031,0.4339622641509385,Low,Low
26.3,23.3,31.3,334.0,1010.1,0,2001,1,0.3421052631578948,0.3428571428571426,0.4838709677419355,0.2341281241022694,0.5471698113207552,Medium,Medium
26.4,23.5,32.0,471.0,1010.0,0,2001,1,0.3684210526315785,0.3999999999999996,0.596774193548387,0.3325193909796035,0.5283018867924488,High,High
25.9,23.3,31.2,369.0,1010.2,0,2001,1,0.2368421052631574,0.3428571428571426,0.4677419354838708,0.2592645791439241,0.5660377358490615,High,Medium
26.2,23.1,30.8,145.0,1011.2,0,2001,1,0.3157894736842103,0.2857142857142857,0.4032258064516129,0.0983912668773341,0.754716981132082,Low,Low
25.6,23.3,29.4,1351.0,1011.1,0,2002,1,0.1578947368421056,0.3428571428571426,0.1774193548387093,0.9645216891697788,0.7358490566037756,High,High
25.5,23.0,29.2,819.0,1012.5,0,2002,1,0.131578947368421,0.2571428571428567,0.1451612903225804,0.5824475725366274,1.0,High,High
26.2,23.6,30.8,483.0,1010.7,0,2002,1,0.3157894736842103,0.4285714285714285,0.4032258064516129,0.3411376041367422,0.6603773584905717,High,High
26.8,23.7,31.9,172.0,1009.6,0,2002,1,0.4736842105263159,0.4571428571428565,0.5806451612903223,0.1177822464808962,0.4528301886792449,Low,Low
27.3,24.2,32.7,215.0,1009.9,0,2002,1,0.605263157894737,0.5999999999999994,0.7096774193548392,0.1486641769606435,0.5094339622641424,Low,Low
26.8,23.4,32.5,195.0,1010.0,0,2002,1,0.4736842105263159,0.3714285714285706,0.6774193548387096,0.1343004883654122,0.5283018867924488,Low,Low
27.2,23.4,33.1,195.0,1010.5,0,2002,1,0.5789473684210523,0.3714285714285706,0.774193548387097,0.1343004883654122,0.622641509433959,Low,Low
26.8,22.8,32.4,238.0,1010.5,0,2002,1,0.4736842105263159,0.1999999999999998,0.6612903225806449,0.1651824188451594,0.622641509433959,Low,Low
26.3,23.0,31.8,266.0,1011.5,0,2002,1,0.3421052631578948,0.2571428571428567,0.5645161290322581,0.1852915828784831,0.8113207547169795,Medium,Medium
26.4,23.2,32.1,216.0,1010.8,0,2002,1,0.3684210526315785,0.3142857142857136,0.6129032258064518,0.149382361390405,0.6792452830188566,Low,Low
26.1,23.2,31.4,376.0,1010.6,0,2002,1,0.2894736842105266,0.3142857142857136,0.4999999999999997,0.2642918701522551,0.6415094339622653,Medium,Medium
26.5,23.5,32.0,194.0,1011.1,0,2002,1,0.3947368421052631,0.3999999999999996,0.596774193548387,0.1335823039356506,0.7358490566037756,Low,Low
25.8,23.3,30.0,760.0,1011.8,0,2003,1,0.2105263157894738,0.3428571428571426,0.2741935483870967,0.5400746911806952,0.867924528301877,High,High
26.0,23.2,30.0,907.0,1011.0,0,2003,1,0.263157894736842,0.3142857142857136,0.2741935483870967,0.6456478023556449,0.7169811320754693,High,High
26.4,23.4,31.3,464.0,1011.0,0,2003,1,0.3684210526315785,0.3714285714285706,0.4838709677419355,0.3274920999712726,0.7169811320754693,High,High
26.5,23.8,32.2,503.0,1010.1,0,2003,1,0.3947368421052631,0.4857142857142855,0.6290322580645166,0.3555012927319735,0.5471698113207552,High,High
27.8,24.1,33.1,216.0,1009.6,0,2003,1,0.736842105263158,0.5714285714285714,0.774193548387097,0.149382361390405,0.4528301886792449,Low,Low
