tavg,tmin,tmax,prcp,pres,city,year,month,tavg_norm,tmin_norm,tmax_norm,prcp_norm,pres_norm,fuzzy_prcp_label
25.5,23.7,29.9,903.0,1009.6,0,2000,1,0.13157894736842102,0.4571428571428565,0.2580645161290319,0.6427750646365986,0.4528301886792449,High
26.0,23.4,30.5,574.0,1009.3,0,2000,1,0.26315789473684204,0.3714285714285706,0.35483870967741926,0.4064923872450445,0.3962264150943259,High
26.4,23.5,31.6,265.0,1009.4,0,2000,1,0.3684210526315785,0.3999999999999996,0.5322580645161292,0.18457339844872162,0.4150943396226322,Medium
26.1,23.2,32.3,372.0,1009.1,0,2000,1,0.28947368421052666,0.31428571428571367,0.6451612903225802,0.26141913243320886,0.35849056603773466,Medium
27.1,23.6,33.3,216.0,1009.3,0,2000,1,0.5526315789473687,0.42857142857142855,0.8064516129032253,0.14938236139040503,0.3962264150943259,Low
26.7,23.5,31.7,231.0,1009.6,0,2000,1,0.4473684210526313,0.3999999999999996,0.5483870967741934,0.16015512783682848,0.4528301886792449,Low
26.7,23.7,31.8,145.0,1009.7,0,2000,1,0.4473684210526313,0.4571428571428565,0.5645161290322581,0.0983912668773341,0.47169811320755123,Low
26.4,23.7,31.8,222.0,1009.4,0,2000,1,0.3684210526315785,0.4571428571428565,0.5645161290322581,0.15369146796897443,0.4150943396226322,Low
26.0,23.7,31.8,312.0,1009.9,0,2000,1,0.26315789473684204,0.4571428571428565,0.5645161290322581,0.21832806664751506,0.5094339622641424,Medium
26.0,23.7,31.8,224.0,1009.7,0,2000,1,0.26315789473684204,0.4571428571428565,0.5645161290322581,0.15512783682849754,0.47169811320755123,Low
26.1,23.3,31.2,323.0,1008.5,0,2000,1,0.28947368421052666,0.34285714285714264,0.4677419354838708,0.22622809537489225,0.24528301886791806,Medium
26.2,23.2,31.4,524.0,1009.1,0,2000,1,0.3157894736842103,0.31428571428571367,0.4999999999999997,0.37058316575696637,0.35849056603773466,High
25.7,23.0,30.3,513.0,1009.2,0,2001,1,0.18421052631578924,0.25714285714285673,0.32258064516129037,0.36268313702958915,0.377358490566041,Medium
25.6,23.1,30.2,577.0,1009.0,0,2001,1,0.15789473684210562,0.2857142857142857,0.3064516129032256,0.4086469405343292,0.3396226415094283,Medium
26.1,23.2,32.1,372.0,1009.6,0,2001,1,0.28947368421052666,0.31428571428571367,0.6129032258064518,0.26141913243320886,0.4528301886792449,Medium
26.4,23.4,32.3,354.0,1009.4,0,2001,1,0.3684210526315785,0.3714285714285706,0.6451612903225802,0.2484918126975007,0.4150943396226322,Medium
27.4,24.0,32.9,87.0,1009.4,0,2001,1,0.6315789473684206,0.5428571428571425,0.7419354838709675,0.056736569951163454,0.4150943396226322,Low
26.7,23.2,32.5,149.0,1009.3,0,2001,1,0.4473684210526313,0.31428571428571367,0.6774193548387096,0.10126400459638034,0.3962264150943259,Low
27.0,23.0,33.1,278.0,1009.3,0,2001,1,0.5263157894736841,0.25714285714285673,0.774193548387097,0.19390979603562195,0.3962264150943259,Low
27.3,23.5,33.3,138.0,1009.5,0,2001,1,0.605263157894737,0.3999999999999996,0.8064516129032253,0.09336397586900315,0.4339622641509385,Low
26.3,23.3,31.3,334.0,1010.1,0,2001,1,0.34210526315789486,0.34285714285714264,0.48387096774193555,0.23412812410226944,0.5471698113207552,Medium
26.4,23.5,32.0,471.0,1010.0,0,2001,1,0.3684210526315785,0.3999999999999996,0.596774193548387,0.33251939097960354,0.5283018867924488,High
25.9,23.3,31.2,369.0,1010.2,0,2001,1,0.23684210526315747,0.34285714285714264,0.4677419354838708,0.25926457914392415,0.5660377358490615,High
26.2,23.1,30.8,145.0,1011.2,0,2001,1,0.3157894736842103,0.2857142857142857,0.40322580645161293,0.0983912668773341,0.754716981132082,Low
25.6,23.3,29.4,1351.0,1011.1,0,2002,1,0.15789473684210562,0.34285714285714264,0.17741935483870935,0.9645216891697788,0.7358490566037756,High
25.5,23.0,29.2,819.0,1012.5,0,2002,1,0.13157894736842102,0.25714285714285673,0.14516129032258043,0.5824475725366274,1.0,High
26.2,23.6,30.8,483.0,1010.7,0,2002,1,0.3157894736842103,0.42857142857142855,0.40322580645161293,0.34113760413674227,0.6603773584905717,High
26.8,23.7,31.9,172.0,1009.6,0,2002,1,0.4736842105263159,0.4571428571428565,0.5806451612903223,0.11778224648089629,0.4528301886792449,Low
27.3,24.2,32.7,215.0,1009.9,0,2002,1,0.605263157894737,0.5999999999999994,0.7096774193548392,0.1486641769606435,0.5094339622641424,Low
26.8,23.4,32.5,195.0,1010.0,0,2002,1,0.4736842105263159,0.3714285714285706,0.6774193548387096,0.13430048836541222,0.5283018867924488,Low
27.2,23.4,33.1,195.0,1010.5,0,2002,1,0.5789473684210523,0.3714285714285706,0.774193548387097,0.13430048836541222,0.622641509433959,Low
26.8,22.8,32.4,238.0,1010.5,0,2002,1,0.4736842105263159,0.1999999999999998,0.6612903225806449,0.16518241884515944,0.622641509433959,Low
26.3,23.0,31.8,266.0,1011.5,0,2002,1,0.34210526315789486,0.25714285714285673,0.5645161290322581,0.18529158287848319,0.8113207547169795,Medium
26.4,23.2,32.1,216.0,1010.8,0,2002,1,0.3684210526315785,0.31428571428571367,0.6129032258064518,0.14938236139040503,0.6792452830188566,Low
26.1,23.2,31.4,376.0,1010.6,0,2002,1,0.28947368421052666,0.31428571428571367,0.4999999999999997,0.2642918701522551,0.6415094339622653,Medium
26.5,23.5,32.0,194.0,1011.1,0,2002,1,0.3947368421052631,0.3999999999999996,0.596774193548387,0.13358230393565065,0.7358490566037756,Low
25.8,23.3,30.0,760.0,1011.8,0,2003,1,0.21052631578947384,0.34285714285714264,0.2741935483870967,0.5400746911806952,0.867924528301877,High
26.0,23.2,30.0,907.0,1011.0,0,2003,1,0.26315789473684204,0.31428571428571367,0.2741935483870967,0.6456478023556449,0.7169811320754693,High
26.4,23.4,31.3,464.0,1011.0,0,2003,1,0.3684210526315785,0.3714285714285706,0.48387096774193555,0.3274920999712726,0.7169811320754693,High
26.5,23.8,32.2,503.0,1010.1,0,2003,1,0.3947368421052631,0.4857142857142855,0.6290322580645166,0.35550129273197356,0.5471698113207552,High
27.8,24.1,33.1,216.0,1009.6,0,2003,1,0.736842105263158,0.5714285714285714,0.774193548387097,0.14938236139040503,0.4528301886792449,Low
26.8,23.5,32.6,155.0,1010.0,0,2003,1,0.4736842105263159,0.3999999999999996,0.6935483870967744,0.10557311117494972,0.5283018867924488,Low
26.4,23.0,32.1,258.0,1010.6,0,2003,1,0.3684210526315785,0.25714285714285673,0.6129032258064518,0.17954610744039068,0.6415094339622653,Medium
27.0,23.6,32.9,175.0,1010.2,0,2003,1,0.5263157894736841,0.42857142857142855,0.7419354838709675,0.11993679977018097,0.5660377358490615,Low
26.5,23.3,32.7,297.0,1010.9,0,2003,1,0.3947368421052631,0.34285714285714264,0.7096774193548392,0.2075553002010916,0.6981132075471629,Medium
25.8,23.1,31.5,548.0,1010.9,0,2003,1,0.21052631578947384,0.2857142857142857,0.5161290322580645,0.3878195920712439,0.6981132075471629,High
26.2,23.2,31.7,313.0,1010.4,0,2003,1,0.3157894736842103,0.31428571428571367,0.5483870967741934,0.21904625107727663,0.6037735849056527,Medium
25.4,23.2,29.8,655.0,1011.0,0,2003,1,0.10526315789473645,0.31428571428571367,0.24193548387096778,0.4646653260557311,0.7169811320754693,High
25.4,23.2,29.1,1259.0,1011.2,0,2004,1,0.10526315789473645,0.31428571428571367,0.12903225806451626,0.898448721631715,0.754716981132082,High
